username,location,tweetcreatedts,retweetcount,text,hashtags
PaulKend999,"Melbourne, Victoria",2021-01-31 01:11:38,0,"@gregggonsalves @LindaMelisande @elpaisinenglish Even more astounding is that ""Deaths per Million of Population"" is higher in UK than in USA or Brazil.... Boris Johnson's management of this pandemic is worse than either Trump's or Bolsonaro's .....how damning !  #COVID","[{'text': 'COVID', 'indices': [263, 269]}]"
HonorTheEarth,Minnesota,2021-01-31 01:11:35,3,"@MN_350 @Ilhan @GiniwCollective @HonorTheEarth @RISEandEngage for those caring about common sense, #Earth, #MN, #ClimateEmergency, #HonorTheTreaties, #COVID, and/or #MMIWG, really here is WHAT JUST HAPPENED ~ 

@POTUS @VP @Gina_McCarthy @ali_a_zaidi @GovTimWalz @LtGovFlanagan @AGEllison 🙏#StopLine3 

#BuildBackBetter = #BuildBackFossilFree","[{'text': 'Earth', 'indices': [119, 125]}, {'text': 'MN', 'indices': [127, 130]}]"
adicecsfabregas,Banjarmasin,2021-01-31 01:11:07,1,"the more the merrier = the more people or things there are, the better the situation will be #LearnEnglish #englishphrases  #COVID #themorethemerrier https://t.co/PgZqMxMnC7","[{'text': 'LearnEnglish', 'indices': [113, 126]}]"
KT2braids,,2021-01-31 01:10:50,47,"They only “care” about #COVID. They don’t care about any of this.👇🏼 They don’t care about the poverty, the suicides, the isolation, or any other medical issues. That’s how you know there is an agenda. https://t.co/6tsiE4ejMU","[{'text': 'COVID', 'indices': [36, 42]}]"
erahmer,City of Chicago,2021-01-31 01:10:19,571,"Dr. Hooman Noorchashm says FDA, Pfizer + Moderna must consider danger #COVID #vaccines pose to recently convalescent or asymptomatic carriers of SARS-CoV-2—especially the elderly, frail or anyone with significant cardiovascular risk factors. #TheDefender 

https://t.co/EBm9SF1K0f","[{'text': 'COVID', 'indices': [91, 97]}, {'text': 'vaccines', 'indices': [98, 107]}]"
CantWhipARabbit,,2021-01-31 01:09:17,0,If only Americans could shoot #Covid. Or sue it until it goes away.  #GetVaccinated,"[{'text': 'Covid', 'indices': [30, 36]}, {'text': 'GetVaccinated', 'indices': [69, 83]}]"
33vinnie,Canada,2021-01-31 01:05:26,0,"@DrJacobsRad If Covid didn’t originate in Canada, then 100% of the cases are linked to travel, primarily flight since the border to the south has limited traffic(essential) whether its Canadians or others, that’s the problem. #COVID","[{'text': 'COVID', 'indices': [226, 232]}]"
KDavisGayFriend,A swing state near you.,2021-01-31 01:03:45,0,"Hey @LAPDHQ @LAPDChiefMoore ,These people are interfering with a declared emergency.  You either arrest them for preventing people from getting vaccinated or resign &amp; let officers who will take over. You had ZERO problems arresting peaceful #BlackLivesMatter protesters. #COVID https://t.co/TkHjCIiY1U","[{'text': 'BlackLivesMatter', 'indices': [245, 262]}, {'text': 'COVID', 'indices': [275, 281]}]"
terryelaineh1,,2021-01-31 01:00:30,10,"I've just signed @CarersUK's open letter to the Chancellor @rishisunak, calling for proper support for #unpaidcarers - who have done so much to care for others during #COVID-19, with little or no help. 
Add your name to this important letter here: https://t.co/xuptNYQB0d","[{'text': 'unpaidcarers', 'indices': [116, 129]}]"
NikaleRenoir,"Tacoma, WA",2021-01-31 00:57:50,0,"The #GOP has long since defined the Color of TERROR. It would only stand to reason: The COLOR of Terror wouldn't look like them. They can't dispute the color of @mtgreenee. Thusly: The only remaining course of action is to dispute whether she's ISIS, Al Qnon or The Klan? #COVID","[{'text': 'GOP', 'indices': [4, 8]}, {'text': 'COVID', 'indices': [272, 278]}]"
AntOfTheHill,England via Fermanagh,2021-01-31 00:53:06,4646,"PM takes full responsibility for all decisions Govt have made
We cannot wait 10yrs for public inquiry

I have instructed my lawyers to consider whether anything he did or didn’t do amounts to gross negligence or misconduct in public office &amp; what consequences should follow
#Covid",[]
NPazderski,Western NY,2021-01-31 00:52:15,26,"I understand that people are still getting married. Life spins on, pandemic or not.

I understand the desire to celebrate milestones. It's how we claim space for our lives in a world that demands our time &amp; labor.

But superspreader-events-to-be are absolute madness.

#COVID https://t.co/ps3R1anKff https://t.co/KtmjfRz2XU",[]
tankart150,"Oviedo, FL (formerly Jax Beach",2021-01-31 00:50:14,26,"I understand that people are still getting married. Life spins on, pandemic or not.

I understand the desire to celebrate milestones. It's how we claim space for our lives in a world that demands our time &amp; labor.

But superspreader-events-to-be are absolute madness.

#COVID https://t.co/ps3R1anKff https://t.co/KtmjfRz2XU",[]
mangotree_books,Townsville QLD Australia,2021-01-31 00:50:00,7,"Scott Morrison ignored the constitutional duty of having a quarantine system in place (or developing one), it was the state Premiers and Territory leaders that got us through #COVID.

#auspol #auspol2021 #Insiders #COVID19 #COVID19Aus https://t.co/11pMV08JC6",[]
SteveFugle,,2021-01-31 00:49:28,0,"The advice going around is to plan to take a day or two off after the second dose of the vaccine due to the flu-like symptoms that can last 24-36 hours. I know people who can do this and people who would lose their job, etc. if they even tried.
#InequalityVirus 
#COVID","[{'text': 'InequalityVirus', 'indices': [245, 261]}, {'text': 'COVID', 'indices': [263, 269]}]"
TheSWPrincess,"MoCo, Maryland",2021-01-31 00:45:43,26,"I understand that people are still getting married. Life spins on, pandemic or not.

I understand the desire to celebrate milestones. It's how we claim space for our lives in a world that demands our time &amp; labor.

But superspreader-events-to-be are absolute madness.

#COVID https://t.co/ps3R1anKff https://t.co/KtmjfRz2XU",[]
CChezwick,,2021-01-31 00:44:15,68,"4/ The vaccine clinical trials showed no meaningful reduction in #Covid or all-cause mortality AND included almost no one at very high risk from #Covid (over 75s with comorbidities).

Aside from that, everything is fine, nothing to see here.

HOPE IS NOT EVIDENCE.","[{'text': 'Covid', 'indices': [83, 89]}]"
OneYearWorld,"Santa Monica, California",2021-01-31 00:44:00,0,"You Deserve A Getaway!  2 Hours from L.A. 

Lake view house for California getaways, outdoor fun, or #RemoteWork

Sequoias, Kern River, Lake Isabella, Kernville

#LosAngeles #California #SantaMonica #sequoias #COVID19 #COVID #writerslift #ActorsLife #WeHo

https://t.co/E4vtQLMyvE","[{'text': 'RemoteWork', 'indices': [101, 112]}, {'text': 'LosAngeles', 'indices': [162, 173]}, {'text': 'California', 'indices': [174, 185]}, {'text': 'SantaMonica', 'indices': [186, 198]}, {'text': 'sequoias', 'indices': [199, 208]}, {'text': 'COVID19', 'indices': [209, 217]}, {'text': 'COVID', 'indices': [218, 224]}, {'text': 'writerslift', 'indices': [225, 237]}, {'text': 'ActorsLife', 'indices': [238, 249]}, {'text': 'WeHo', 'indices': [250, 255]}]"
KarenFranzi,"Tennessee, USA",2021-01-31 00:41:57,0,"@Sen_JoeManchin ‼️ @SenatorSinema ‼️ don't mess around with our democracy or #COVID relief! That's the @GOP agenda along w overthrowing the government 🤬 Step away.
#StimulusChecksNOW 
#ConvictDonaldTrump https://t.co/K5iXdLYpXR","[{'text': 'COVID', 'indices': [77, 83]}, {'text': 'StimulusChecksNOW', 'indices': [164, 182]}, {'text': 'ConvictDonaldTrump', 'indices': [184, 203]}]"
Memzers,,2021-01-31 00:41:37,1,"Yep. Not the economy or the massive #COVID pandemic but the Muslim women that are the biggest threat to France. Yet again, when she and her far-right ideology has nothing to offer to the society she goes for #Islamophobia 
https://t.co/7Wh4T8npX1","[{'text': 'COVID', 'indices': [36, 42]}, {'text': 'Islamophobia', 'indices': [208, 221]}]"
tabbyday,USA,2021-01-31 00:41:03,0,"@Dreamsicle2020 @marylinbitner BMJ notes none of #COVID v@ccine trials “are designed to detect reduction in any serious outcome of hospital admissions, use of intensive care or deaths. Nor R the v@ccines being studied to determine whether they can interrupt transmission of the virus”
https://t.co/gKFf0s8HEA","[{'text': 'COVID', 'indices': [49, 55]}]"
taylor_nomercy,"Florida, USA",2021-01-31 00:40:51,1,"We need recurring $2,000 stimulus checks until the pandemic is over for every person living in the U.S who is 18 or older. @POTUS @VP @SenRickScott @marcorubio @RepMattGaetz 

#2KChecks  #StimulusCheck #stimulus #COVID19 #COVID #coronavirus","[{'text': '2KChecks', 'indices': [176, 185]}, {'text': 'StimulusCheck', 'indices': [187, 201]}, {'text': 'stimulus', 'indices': [202, 211]}, {'text': 'COVID19', 'indices': [212, 220]}, {'text': 'COVID', 'indices': [221, 227]}, {'text': 'coronavirus', 'indices': [228, 240]}]"
LeeeeeeKnowwho,Antarctica,2021-01-31 00:40:19,71,"@marixaza @AimanPsikologi For those in need of basic food supply, can come at MyKampung Fresh Mart seksyen 24 Shah Alam to get it for free.

Or, can apply financial aid in the link below:-

https://t.co/EXK2KbvnjK

Anyone can apply regardless their race and religion. 

#COVID https://t.co/uxErx4fFVp",[]
lynz25706424,,2021-01-31 00:40:07,10,"I've just signed @CarersUK's open letter to the Chancellor @rishisunak, calling for proper support for #unpaidcarers - who have done so much to care for others during #COVID-19, with little or no help. 
Add your name to this important letter here: https://t.co/xuptNYQB0d","[{'text': 'unpaidcarers', 'indices': [116, 129]}]"
pir8z40,Left Coast,2021-01-31 00:39:39,1,"Vaccines are not a reward for being a good citizen...or even for BEING a citizen. 
They're to stop the spread of infection amongst ALL of us. They only work well if given to (virtually) ALL of us. 
#COVID #Vaccines #PublicHealth https://t.co/4SrNZrEjDc","[{'text': 'COVID', 'indices': [198, 204]}, {'text': 'Vaccines', 'indices': [205, 214]}, {'text': 'PublicHealth', 'indices': [215, 228]}]"
debkingkent,"Stuart, FL",2021-01-31 00:39:24,26,"I understand that people are still getting married. Life spins on, pandemic or not.

I understand the desire to celebrate milestones. It's how we claim space for our lives in a world that demands our time &amp; labor.

But superspreader-events-to-be are absolute madness.

#COVID https://t.co/ps3R1anKff https://t.co/KtmjfRz2XU",[]
iche_me,"North Carolina, USA",2021-01-31 00:38:57,26,"I understand that people are still getting married. Life spins on, pandemic or not.

I understand the desire to celebrate milestones. It's how we claim space for our lives in a world that demands our time &amp; labor.

But superspreader-events-to-be are absolute madness.

#COVID https://t.co/ps3R1anKff https://t.co/KtmjfRz2XU",[]
QuizzicalGirl,Geeks Resist Headquarters 🇨🇦,2021-01-31 00:37:53,26,"I understand that people are still getting married. Life spins on, pandemic or not.

I understand the desire to celebrate milestones. It's how we claim space for our lives in a world that demands our time &amp; labor.

But superspreader-events-to-be are absolute madness.

#COVID https://t.co/ps3R1anKff https://t.co/KtmjfRz2XU",[]
Harrynorrie,"Falkirk, Scotland",2021-01-31 00:37:25,0,@ohhhhthatsnice @LongtermL @DDS_DocHoliday I have #NCYT &amp; #ODX not like #covid isn't relevant ATM or do you something I don't...22Bn tenders announced in the next week. The biggest government cash injection to any sector.,"[{'text': 'NCYT', 'indices': [50, 55]}, {'text': 'ODX', 'indices': [62, 66]}, {'text': 'covid', 'indices': [76, 82]}]"
authentic_kim,"Edmonton, Alberta",2021-01-31 00:36:14,2,"SOLUTION....4 week ONLINE program for parents. Runs monthly. LEARN MORE HERE 👇👇 (or msg me for info)
https://t.co/4KnIalgmBa
and here👇👇
https://t.co/eguSAMYdJW
#help #support #mentalhealth #mentalhealthawareness
#kids #children #mom #help #covid #covid_19 #love #happy https://t.co/GMikioPE4O","[{'text': 'help', 'indices': [160, 165]}, {'text': 'support', 'indices': [166, 174]}, {'text': 'mentalhealth', 'indices': [175, 188]}, {'text': 'mentalhealthawareness', 'indices': [189, 211]}, {'text': 'kids', 'indices': [212, 217]}, {'text': 'children', 'indices': [218, 227]}, {'text': 'mom', 'indices': [228, 232]}, {'text': 'help', 'indices': [233, 238]}, {'text': 'covid', 'indices': [239, 245]}, {'text': 'covid_19', 'indices': [246, 255]}, {'text': 'love', 'indices': [256, 261]}, {'text': 'happy', 'indices': [262, 268]}]"
LandseerNewfie,GeeksResist Headquarters,2021-01-31 00:35:03,26,"I understand that people are still getting married. Life spins on, pandemic or not.

I understand the desire to celebrate milestones. It's how we claim space for our lives in a world that demands our time &amp; labor.

But superspreader-events-to-be are absolute madness.

#COVID https://t.co/ps3R1anKff https://t.co/KtmjfRz2XU",[]
TanyaGrahamDVM,South Dakota,2021-01-31 00:33:02,26,"I understand that people are still getting married. Life spins on, pandemic or not.

I understand the desire to celebrate milestones. It's how we claim space for our lives in a world that demands our time &amp; labor.

But superspreader-events-to-be are absolute madness.

#COVID https://t.co/ps3R1anKff https://t.co/KtmjfRz2XU",[]
BuffytVSSummers,Southern California,2021-01-31 00:32:40,26,"I understand that people are still getting married. Life spins on, pandemic or not.

I understand the desire to celebrate milestones. It's how we claim space for our lives in a world that demands our time &amp; labor.

But superspreader-events-to-be are absolute madness.

#COVID https://t.co/ps3R1anKff https://t.co/KtmjfRz2XU",[]
finnsmum,"Sioux Falls, SD",2021-01-31 00:30:07,13,"Imagine if 1 in 500 #SouthDakotans had died in floods or wild fires and @govkristinoem’s answer was to squawk about freedom, undermine preventive measures and campaign out of state. #COVID #SouthDakota","[{'text': 'SouthDakotans', 'indices': [39, 53]}]"
dEMMAcratic,North Carolina,2021-01-31 00:29:50,26,"I understand that people are still getting married. Life spins on, pandemic or not.

I understand the desire to celebrate milestones. It's how we claim space for our lives in a world that demands our time &amp; labor.

But superspreader-events-to-be are absolute madness.

#COVID https://t.co/ps3R1anKff https://t.co/KtmjfRz2XU",[]
DanFrankowski,,2021-01-31 00:29:44,1,"@AlexMLeo Too bad they aren’t as vigilant about their insulin or Lipitor, or are those legit? #COVID #Corona #vaccine #ChinaVirus #Trump #GetVaccinated #TrumpTreason #CapitolRiot https://t.co/Tc82nBg8xu","[{'text': 'COVID', 'indices': [113, 119]}, {'text': 'Corona', 'indices': [120, 127]}, {'text': 'vaccine', 'indices': [128, 136]}]"
SixPersistsBlue,GeeksResist Headquarters,2021-01-31 00:25:59,26,"I understand that people are still getting married. Life spins on, pandemic or not.

I understand the desire to celebrate milestones. It's how we claim space for our lives in a world that demands our time &amp; labor.

But superspreader-events-to-be are absolute madness.

#COVID https://t.co/ps3R1anKff https://t.co/KtmjfRz2XU","[{'text': 'COVID', 'indices': [273, 279]}]"
FernandAubry,,2021-01-31 00:24:15,1,"@amyklobuchar Not like we have a DIRE life &amp; death crisis or anything both biologically &amp; economically w/ #COVID where we’re hitting 4k deaths a day &amp; 35% could lose their homes in the next month. Who cares, right? you do you. What WILL u do in life w/o #Trump mean tweets to respond to... https://t.co/CmWsFUw9wY","[{'text': 'COVID', 'indices': [129, 135]}]"
loupmcgowan,"Dublin, Ireland ",2021-01-31 00:24:00,0,Special privileges..or ??? #covid #GetVaccinated #coronavirus #lockdown https://t.co/BIXoYxa3SD,"[{'text': 'covid', 'indices': [27, 33]}, {'text': 'GetVaccinated', 'indices': [34, 48]}, {'text': 'coronavirus', 'indices': [49, 61]}, {'text': 'lockdown', 'indices': [62, 71]}]"
JaneBIVL,"Churchton MD, usually",2021-01-31 00:22:59,0,"@SenTedCruz And yet not one self-dealing, seditious or unConstitutional act! All while making the people safer from #Covid, which your guy never considered. Imagine that! #BuildBackBetter","[{'text': 'Covid', 'indices': [116, 122]}, {'text': 'BuildBackBetter', 'indices': [171, 187]}]"
RiseWithTheSea,,2021-01-31 00:22:40,0,"@GiniwCollective @JoeBiden @GovTimWalz for those caring about common sense, #Earth, #MN, #ClimateEmergency, #HonorTheTreaties, #COVID, and/or #MMIWG, really here is WHAT JUST HAPPENED ~ 

@POTUS @VP @Gina_McCarthy @ali_a_zaidi @GovTimWalz @LtGovFlanagan @AGEllison 🙏#StopLine3 

#BuildBackBetter = #BuildBackFossilFree","[{'text': 'Earth', 'indices': [76, 82]}, {'text': 'MN', 'indices': [84, 87]}, {'text': 'ClimateEmergency', 'indices': [89, 106]}, {'text': 'HonorTheTreaties', 'indices': [108, 125]}, {'text': 'COVID', 'indices': [127, 133]}, {'text': 'MMIWG', 'indices': [142, 148]}, {'text': 'StopLine3', 'indices': [266, 276]}, {'text': 'BuildBackBetter', 'indices': [279, 295]}, {'text': 'BuildBackFossilFree', 'indices': [298, 318]}]"
RiseWithTheSea,,2021-01-31 00:22:12,0,"@zhaabowekwe for those caring about #CommonSense, #Earth, #MN, #ClimateEmergency, #HonorTheTreaties, #COVID, and/or #MMIWG, really here is WHAT JUST HAPPENED ~ 

@POTUS @VP @Gina_McCarthy @ali_a_zaidi @GovTimWalz @LtGovFlanagan @AGEllison 🙏#StopLine3 

#BuildBackBetter = #BuildBackFossilFree","[{'text': 'CommonSense', 'indices': [36, 48]}, {'text': 'Earth', 'indices': [50, 56]}, {'text': 'MN', 'indices': [58, 61]}, {'text': 'ClimateEmergency', 'indices': [63, 80]}, {'text': 'HonorTheTreaties', 'indices': [82, 99]}, {'text': 'COVID', 'indices': [101, 107]}, {'text': 'MMIWG', 'indices': [116, 122]}, {'text': 'StopLine3', 'indices': [240, 250]}, {'text': 'BuildBackBetter', 'indices': [253, 269]}, {'text': 'BuildBackFossilFree', 'indices': [272, 292]}]"
RiseWithTheSea,,2021-01-31 00:21:27,0,"for those caring about common sense, #Earth, #MN, #ClimateEmergency, #HonorTheTreaties, #COVID, and/or #MMIWG, really here is WHAT JUST HAPPENED ~ 

@POTUS @VP @Gina_McCarthy @ali_a_zaidi @GovTimWalz @LtGovFlanagan @AGEllison 🙏#StopLine3 

#BuildBackBetter = #BuildBackFossilFree https://t.co/YpmEt3QrUz","[{'text': 'Earth', 'indices': [37, 43]}, {'text': 'MN', 'indices': [45, 48]}, {'text': 'ClimateEmergency', 'indices': [50, 67]}, {'text': 'HonorTheTreaties', 'indices': [69, 86]}, {'text': 'COVID', 'indices': [88, 94]}, {'text': 'MMIWG', 'indices': [103, 109]}, {'text': 'StopLine3', 'indices': [227, 237]}, {'text': 'BuildBackBetter', 'indices': [240, 256]}, {'text': 'BuildBackFossilFree', 'indices': [259, 279]}]"
trumpscarnage,"Michigan, USA",2021-01-31 00:21:16,0,"@DemGovs WHY? Is it bc you're being bullied by GOP legislators &amp; far-right groups? 
Here's a model of INCREASED #COVID deaths.
Millions of us have NOT seen our family &amp; friends for 11 months or dined in...""but, the restaurants"" 
I've supported restaurants w/
carry out for months. https://t.co/opUj7vf61E","[{'text': 'COVID', 'indices': [116, 122]}]"
RiseWithTheSea,,2021-01-31 00:20:09,0,"@RepToddLippert @GovTimWalz for those caring about common sense, #Earth, #MN, #ClimateEmergency, #HonorTheTreaties, #COVID, and/or #MMIWG, really here is WHAT JUST HAPPENED ~ 

@POTUS @VP @Gina_McCarthy @ali_a_zaidi @GovTimWalz @LtGovFlanagan @AGEllison 🙏#StopLine3 

#BuildBackBetter = #BuildBackFossilFree","[{'text': 'Earth', 'indices': [65, 71]}, {'text': 'MN', 'indices': [73, 76]}, {'text': 'ClimateEmergency', 'indices': [78, 95]}, {'text': 'HonorTheTreaties', 'indices': [97, 114]}, {'text': 'COVID', 'indices': [116, 122]}, {'text': 'MMIWG', 'indices': [131, 137]}, {'text': 'StopLine3', 'indices': [255, 265]}, {'text': 'BuildBackBetter', 'indices': [268, 284]}, {'text': 'BuildBackFossilFree', 'indices': [287, 307]}]"
UmmuNishaa,,2021-01-31 00:20:05,71,"@marixaza @AimanPsikologi For those in need of basic food supply, can come at MyKampung Fresh Mart seksyen 24 Shah Alam to get it for free.

Or, can apply financial aid in the link below:-

https://t.co/EXK2KbvnjK

Anyone can apply regardless their race and religion. 

#COVID https://t.co/uxErx4fFVp",[]
RiseWithTheSea,,2021-01-31 00:19:37,3,"@MN_350 @Ilhan @GiniwCollective @HonorTheEarth @RISEandEngage for those caring about common sense, #Earth, #MN, #ClimateEmergency, #HonorTheTreaties, #COVID, and/or #MMIWG, really here is WHAT JUST HAPPENED ~ 

@POTUS @VP @Gina_McCarthy @ali_a_zaidi @GovTimWalz @LtGovFlanagan @AGEllison 🙏#StopLine3 

#BuildBackBetter = #BuildBackFossilFree","[{'text': 'Earth', 'indices': [99, 105]}, {'text': 'MN', 'indices': [107, 110]}, {'text': 'ClimateEmergency', 'indices': [112, 129]}, {'text': 'HonorTheTreaties', 'indices': [131, 148]}, {'text': 'COVID', 'indices': [150, 156]}, {'text': 'MMIWG', 'indices': [165, 171]}, {'text': 'StopLine3', 'indices': [289, 299]}, {'text': 'BuildBackBetter', 'indices': [302, 318]}, {'text': 'BuildBackFossilFree', 'indices': [321, 341]}]"
RiseWithTheSea,,2021-01-31 00:19:00,0,"@ResistLine3 @POTUS @GovTimWalz for those caring about common sense, #Earth, #MN, #ClimateEmergency, #HonorTheTreaties, #COVID, and/or #MMIWG, really here is WHAT JUST HAPPENED ~ 

@POTUS @VP @Gina_McCarthy @ali_a_zaidi @GovTimWalz @LtGovFlanagan @AGEllison 🙏#StopLine3 

#BuildBackBetter = #BuildBackFossilFree","[{'text': 'Earth', 'indices': [69, 75]}, {'text': 'MN', 'indices': [77, 80]}, {'text': 'ClimateEmergency', 'indices': [82, 99]}, {'text': 'HonorTheTreaties', 'indices': [101, 118]}, {'text': 'COVID', 'indices': [120, 126]}, {'text': 'MMIWG', 'indices': [135, 141]}, {'text': 'StopLine3', 'indices': [259, 269]}, {'text': 'BuildBackBetter', 'indices': [272, 288]}, {'text': 'BuildBackFossilFree', 'indices': [291, 311]}]"
RiseWithTheSea,,2021-01-31 00:18:47,0,"for those caring about common sense, #Earth, #MN, #ClimateEmergency, #HonorTheTreaties, #COVID, and/or #MMIWG, really here is WHAT JUST HAPPENED ~ 

@POTUS @VP @Gina_McCarthy @ali_a_zaidi @GovTimWalz @LtGovFlanagan @AGEllison 🙏#StopLine3 

#BuildBackBetter = #BuildBackFossilFree https://t.co/i2zWs7pJ5v","[{'text': 'Earth', 'indices': [37, 43]}, {'text': 'MN', 'indices': [45, 48]}, {'text': 'ClimateEmergency', 'indices': [50, 67]}, {'text': 'HonorTheTreaties', 'indices': [69, 86]}, {'text': 'COVID', 'indices': [88, 94]}, {'text': 'MMIWG', 'indices': [103, 109]}, {'text': 'StopLine3', 'indices': [227, 237]}, {'text': 'BuildBackBetter', 'indices': [240, 256]}, {'text': 'BuildBackFossilFree', 'indices': [259, 279]}]"
carongan1,Toronto,2021-01-31 00:18:02,0,@thewaywardrose Who on your science or health command table recommended hiring security guards in LTCHs? Can you share any studies on the effectiveness of security guard interventions to mitigate the spread of #COVID?,"[{'text': 'COVID', 'indices': [210, 216]}]"
RiseWithTheSea,,2021-01-31 00:17:55,0,"@Ilhan for those caring about common sense, #Earth, #MN, #ClimateEmergency, #HonorTheTreaties, #COVID, and/or #MMIWG, really here is WHAT JUST HAPPENED ~ 

@POTUS @VP @Gina_McCarthy @ali_a_zaidi @GovTimWalz @LtGovFlanagan @AGEllison 🙏#StopLine3 

#BuildBackBetter = #BuildBackFossilFree","[{'text': 'Earth', 'indices': [44, 50]}, {'text': 'MN', 'indices': [52, 55]}, {'text': 'ClimateEmergency', 'indices': [57, 74]}, {'text': 'HonorTheTreaties', 'indices': [76, 93]}, {'text': 'COVID', 'indices': [95, 101]}, {'text': 'MMIWG', 'indices': [110, 116]}, {'text': 'StopLine3', 'indices': [234, 244]}, {'text': 'BuildBackBetter', 'indices': [247, 263]}, {'text': 'BuildBackFossilFree', 'indices': [266, 286]}]"
RiseWithTheSea,,2021-01-31 00:17:44,0,"for those caring about common sense, #Earth, #MN, #ClimateEmergency, #HonorTheTreaties, #COVID, and/or #MMIWG, really here is WHAT JUST HAPPENED ~ 

@POTUS @VP @Gina_McCarthy @ali_a_zaidi @GovTimWalz @LtGovFlanagan @AGEllison 🙏#StopLine3 

#BuildBackBetter = #BuildBackFossilFree https://t.co/facdmCNecM","[{'text': 'Earth', 'indices': [37, 43]}, {'text': 'MN', 'indices': [45, 48]}, {'text': 'ClimateEmergency', 'indices': [50, 67]}, {'text': 'HonorTheTreaties', 'indices': [69, 86]}, {'text': 'COVID', 'indices': [88, 94]}, {'text': 'MMIWG', 'indices': [103, 109]}, {'text': 'StopLine3', 'indices': [227, 237]}, {'text': 'BuildBackBetter', 'indices': [240, 256]}, {'text': 'BuildBackFossilFree', 'indices': [259, 279]}]"
OzbatRisa,"Fort Lee, VA USA",2021-01-31 00:16:46,1,"@amyklobuchar Not like we have a DIRE life &amp; death crisis or anything both biologically &amp; economically w/ #COVID where we’re hitting 4k deaths a day &amp; 35% could lose their homes in the next month. Who cares, right? you do you. What WILL u do in life w/o #Trump mean tweets to respond to... https://t.co/CmWsFUw9wY","[{'text': 'COVID', 'indices': [114, 120]}, {'text': 'Trump', 'indices': [266, 272]}]"
kreftdinner,Treaty 7,2021-01-31 00:12:51,8,"This isn’t PEM, but it is an important and unusual dynamic of acute COVID. When people treat #COVID like a flu and return to their normal activities after the 7-14 day acute period, they often relapse and remain ill for weeks or months. That is what we think happened to us. https://t.co/paTKPbeKAP","[{'text': 'COVID', 'indices': [106, 112]}]"
_____Tweety____,Isn't following a bit creepy?,2021-01-31 00:12:36,0,"@KnowNothingTV Condolences to everyone who truly lost someone to the infamous virus and/or its affects #COVID  #SARS_CoV_2 
Not sure which was the shit post, but the entire thing is deplorably insensitive. https://t.co/ifRsLvmnap","[{'text': 'COVID', 'indices': [103, 109]}, {'text': 'SARS_CoV_2', 'indices': [111, 122]}]"
HonestAbe4you,"Washington, DC",2021-01-31 00:11:37,1,"@AlexMLeo Too bad they aren’t as vigilant about their insulin or Lipitor, or are those legit? #COVID #Corona #vaccine #ChinaVirus #Trump #GetVaccinated #TrumpTreason #CapitolRiot https://t.co/Tc82nBg8xu","[{'text': 'COVID', 'indices': [94, 100]}, {'text': 'Corona', 'indices': [101, 108]}, {'text': 'vaccine', 'indices': [109, 117]}, {'text': 'ChinaVirus', 'indices': [118, 129]}, {'text': 'Trump', 'indices': [130, 136]}, {'text': 'GetVaccinated', 'indices': [137, 151]}, {'text': 'TrumpTreason', 'indices': [152, 165]}, {'text': 'CapitolRiot', 'indices': [166, 178]}]"
sheryl4sd,"Sioux Falls, SD",2021-01-31 00:08:34,13,"Imagine if 1 in 500 #SouthDakotans had died in floods or wild fires and @govkristinoem’s answer was to squawk about freedom, undermine preventive measures and campaign out of state. #COVID #SouthDakota","[{'text': 'SouthDakotans', 'indices': [39, 53]}]"
GMUCare,"Mobile, AL",2021-01-31 00:08:04,0,"Feeling under the weather? Is it the common #COLD, a seasonal #FLU or #Covid? We're here to help. Stop by one of our #urgentcare #clinics. No appointment necessary.

#urgentcareclinic #coldsymptoms #commoncold #medicalclinic https://t.co/kfaIruIXkC","[{'text': 'COLD', 'indices': [44, 49]}, {'text': 'FLU', 'indices': [62, 66]}, {'text': 'Covid', 'indices': [70, 76]}, {'text': 'urgentcare', 'indices': [117, 128]}, {'text': 'clinics', 'indices': [129, 137]}, {'text': 'urgentcareclinic', 'indices': [166, 183]}, {'text': 'coldsymptoms', 'indices': [184, 197]}, {'text': 'commoncold', 'indices': [198, 209]}, {'text': 'medicalclinic', 'indices': [210, 224]}]"
usenotchipsmore,,2021-01-31 00:01:57,71,"@marixaza @AimanPsikologi For those in need of basic food supply, can come at MyKampung Fresh Mart seksyen 24 Shah Alam to get it for free.

Or, can apply financial aid in the link below:-

https://t.co/EXK2KbvnjK

Anyone can apply regardless their race and religion. 

#COVID https://t.co/uxErx4fFVp",[]
mrgharam,N9,2021-01-31 00:00:28,71,"@marixaza @AimanPsikologi For those in need of basic food supply, can come at MyKampung Fresh Mart seksyen 24 Shah Alam to get it for free.

Or, can apply financial aid in the link below:-

https://t.co/EXK2KbvnjK

Anyone can apply regardless their race and religion. 

#COVID https://t.co/uxErx4fFVp",[]
biarlah_rahsia_,,2021-01-31 00:00:15,71,"@marixaza @AimanPsikologi For those in need of basic food supply, can come at MyKampung Fresh Mart seksyen 24 Shah Alam to get it for free.

Or, can apply financial aid in the link below:-

https://t.co/EXK2KbvnjK

Anyone can apply regardless their race and religion. 

#COVID https://t.co/uxErx4fFVp",[]
